popANI,popANI_plotting,Species,Specieslong
0.999999494,0.999999494,Lgasseri,Lgasseri
0.999998428,0.999998428,Liners,Liners
0.999998318,0.999998318,Prevotella,Prevotella
0.99999817,0.99999817,Ljensenii,Ljensenii
0.999997392,0.999997392,Pbuccalis,Pbuccalis
0.999996908,0.999996908,Ljensenii,Ljensenii
0.99999498,0.99999498,BVAB1,BVAB1
0.999993991,0.999993991,Liners,Liners
0.999993618,0.999993618,Blongum,Blongum
0.999991845,0.999991845,Lgasseri,Lgasseri
0.999989588,0.999989588,Gardnerella,Gardsp8
0.999986236,0.999986236,Gardnerella,Gardsp7
0.999972938,0.999972938,Megasphaera,Megasphaera
0.999960632,0.999960632,Gardnerella,Gard2
0.999850586,0.999850586,Gardnerella,Gard13
0.99982841,0.99982841,BVAB1,BVAB1
0.999503717,0.999503717,Liners,Liners
0.998566322,0.998566322,Gardnerella,Gard14
0.99835925,0.99835925,Lcrispatus,Lcrispatus
0.996984049,0.9979,Liners,Liners
0.996606799,0.9979,Lcrispatus,Lcrispatus
0.996494419,0.9979,Liners,Liners
0.996125403,0.9979,Gardnerella,Gard12
0.993843087,0.9979,Gardnerella,Gvaginalis
0.991564925,0.9979,Avaginae,Avaginae
0.990356233,0.9979,Liners,Liners
0.975943734,0.9979,Gardnerella,Gard8
